spcd,common name,Genus,Species,Species2,phy,myc,spcd,totdbh,Order,family,Clade,Phycat1,Phycat2,Leaf N_mg_g,Sample_Size_LeafN
744,swamp cottonwood,Populus,heterophylla,Populus heterophylla,A,b,744,6.2,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,24.02691,1
752,silver poplar,Populus,alba,Populus alba,A,b,752,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,24.33676615,13
654,bigleaf magnolia,Magnolia,macrophylla,Magnolia macrophylla,A,a,654,4.9,Magnoliales,Magnoliaceae,Magnolids,Other,Other,24.575,1
922,black willow,Salix,nigra,Salix nigra,A,b,922,1425.9,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,24.8,5
372,sweet birch,Betula,lenta,Betula lenta,A,e,372,4036.9,Fagales,Betulaceae,Fabids,Other,Betulaceae,24.86666667,3
462,hackberry,Celtis,occidentalis,Celtis occidentalis,A,a,462,1880.9,Rosales,Cannabaceae,Fabids,Other,Other,24.9,6
375,paper birch,Betula,papyrifera,Betula papyrifera,A,e,375,14345.1,Fagales,Betulaceae,Fabids,Other,Betulaceae,25.39986759,130
513,grand eucalyptus,Eucalyptus,grandis,Eucalyptus grandis,A,e,513,0,,,,,,25.45,12
602,black walnut,Juglans,nigra,Juglans nigra,A,a,602,3531.29,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,25.55,8
315,striped maple,Acer,pensylvanicum,Acer pensylvanicum,A,a,315,760.22,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,25.91210695,187
313,boxelder,Acer,negundo,Acer negundo,A,a,313,2204.48,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,25.98980333,12
371,yellow birch,Betula,alleghaniensis,Betula alleghaniensis,A,e,371,8074.4,Fagales,Betulaceae,Fabids,Other,Betulaceae,26.1,28
927,white willow,Salix,alba,Salix alba,A,b,927,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,26.27466667,3
953,Carolina basswood,Tilia,americana,Tilia americana,A,e,953,0,Malvales,Malvaceae,Malvids,Other,Other,26.33214286,28
952,white basswood,Tilia,americana,Tilia americana,A,e,952,1,Malvales,Malvaceae,Malvids,Other,Other,26.33214286,28
951,American basswood,Tilia,americana,Tilia americana,A,e,951,6071.64,Malvales,Malvaceae,Malvids,Other,Other,26.33214286,28
531,American beech,Fagus,grandifolia,Fagus grandifolia,A,e,531,13171.09,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,26.60881818,330
746,quaking aspen,Populus,tremuloides,Populus tremuloides,A,b,746,14871.4,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,26.73775207,124
341,ailanthus,Ailanthus,altissima,Ailanthus altissima,A,a,341,491.6,Sapindales,Simaroubaceae,Malvids,Other,Other,26.987658,5
682,red mulberry,Morus,rubra,Morus rubra,A,a,682,578.85,Rosales,Moraceae,Fabids,Other,Other,27.15,2
974,Siberian elm,Ulmus,pumila,Ulmus pumila,A,a,974,26.6,Rosales,Ulmaceae,Fabids,Other,Other,27.3575495,15
701,eastern hophornbeam,Ostrya,virginiana,Ostrya virginiana,A,e,701,2334.44,Fagales,Betulaceae,Fabids,Other,Betulaceae,27.67207207,111
352,white alder,Alnus,rhombifolia,Alnus rhombifolia,A,e,352,0,Fagales,Betulaceae,Fabids,Other,Betulaceae,28.0625,2
521,common persimmon,Diospyros,virginiana,Diospyros virginiana,A,a,521,771.04,Ericales,Ebenaceae,Asterids,Other,Other,28.2,1
552,honeylocust,Gleditsia,triacanthos,Gleditsia triacanthos,A,a,552,777.3,Fabales,Fabaceae,Fabids,Other,Other,28.45425667,3
355,European alder,Alnus,glutinosa,Alnus glutinosa,A,e,355,0,Fagales,Betulaceae,Fabids,Other,Betulaceae,29.31266667,33
345,"mimosa, silktree",Albizia,julibrissin,Albizia julibrissin,A,a,345,5.6,Fabales,Ingeae,Fabids,Other,Other,30.3,2
901,black locust,Robinia,pseudoacacia,Robinia pseudoacacia,A,a,901,3045.99,Fabales,Fabaceae,Fabids,Other,Other,33.16580568,18
546,blue ash,Fraxinus,quadrangulata,Fraxinus quadrangulata,A,a,546,165.9,Lamiales,Oleaceae,Asterids,Other,Oleaceae,33.36667,1
997,Russian-olive,Elaeagnus,angustifolia,Elaeagnus angustifolia,A,a,997,0,,,,,,39.8,1
764,peach,Prunus,persica,Prunus persica,A,a,764,0,Rosales,Rosaceae,Fabids,Other,Other,39.80198025,40
907,Florida silver palm,Coccothrinax,argentata,Coccothrinax argentata,A,a,907,0,,,,,,,
